session id;operation;latency;nb inputs
5;gradients/dropout/div_grad/Reshape_1;11311;2
5;gradients/Add_grad/Reshape_1;10973;2
5;Adam/update_Variable_2/ApplyAdam;10951;10
5;gradients/dropout/mul_grad/Reshape_1;10919;2
5;gradients/Relu_1_grad/ReluGrad;10358;2
5;gradients/BiasAdd_grad/BiasAddGrad;9870;1
5;gradients/MatMul_1_grad/MatMul;9737;2
5;gradients/MatMul_grad/MatMul;9512;2
5;gradients/dropout/mul_grad/mul;9278;2
5;gradients/BiasAdd_1_grad/BiasAddGrad;8873;1
5;MaxPool;8836;1
5;gradients/Conv2D_1_grad/Conv2DBackpropInput;8709;3
5;gradients/Conv2D_grad/Conv2DBackpropInput;8438;3
5;gradients/MaxPool_grad/MaxPoolGrad;8235;3
5;gradients/Reshape_4_grad/Reshape;8155;2
5;gradients/Reshape_2_grad/Reshape;8065;2
5;Relu_1;8026;1
5;gradients/Mean_grad/truediv;7993;2
5;gradients/Reshape_1_grad/Reshape;7839;2
5;gradients/Add_grad/Sum;7798;2
5;Conv2D;7269;2
5;dropout/mul;7084;2
5;MaxPool_1;7070;1
5;Relu;6924;1
5;Conv2D_1;6742;2
5;dropout/Floor;6453;1
5;dropout/add;6422;2
5;Add;6402;2
5;gradients/Reshape_1_grad/Shape;6214;1
5;gradients/Add_1_grad/Sum;5281;2
5;gradients/SoftmaxCrossEntropyWithLogits_grad/ExpandDims;5133;2
5;gradients/Mean_grad/Shape;4879;1
5;gradients/SoftmaxCrossEntropyWithLogits_grad/mul;4451;2
5;Reshape_2;4329;2
5;gradients/dropout/div_grad/RealDiv;4164;2
5;Adam/update_Variable/ApplyAdam;4140;10
5;MatMul;3972;2
5;SoftmaxCrossEntropyWithLogits;3936;2
5;Reshape_3;3765;2
5;concat_1;3726;3
5;Slice_1;3706;3
5;gradients/Relu_2_grad/ReluGrad;3542;2
5;concat;3325;3

6;Adam/mul_1;8420339;10
6;Adam/mul;8412409;10
6;gradients/Mean_grad/Maximum;4466413;2
6;Reshape;1987436;2
6;gradients/Mean_grad/Prod_1;1716553;2
6;Variable/read;390660;1
6;Variable_1/read;385976;1
6;Variable_2/read;381351;1
6;Variable_4/read;381225;1
6;Variable_3/read;381182;1
6;Variable_5/read;377158;1
6;Variable_6/read;375134;1
6;Variable_7/read;373567;1
6;Adam/update_Variable_5/ApplyAdam;358430;10
6;Adam/update_Variable_4/ApplyAdam;334230;10
6;beta2_power/read;295776;1
6;beta1_power/read;289745;1
6;gradients/Conv2D_1_grad/Shape;244554;1
6;gradients/Conv2D_1_grad/Conv2DBackpropFilter;214000;3
6;gradients/Conv2D_1_grad/tuple/control_dependency;212108;2
6;gradients/Conv2D_grad/Conv2DBackpropFilter;210592;3
6;Adam/update_Variable_1/ApplyAdam;162430;10
6;gradients/Conv2D_grad/Shape;157710;1
6;gradients/Mean_grad/floordiv;156919;2
6;gradients/Mean_grad/Cast;145697;1
6;gradients/MatMul_grad/tuple/control_dependency;109156;2
6;BiasAdd_1;101146;2
6;gradients/MatMul_1_grad/tuple/control_dependency;92861;2
6;Adam/update_Variable_6/ApplyAdam;79764;10
6;gradients/dropout/mul_grad/Sum;77410;2
6;dropout/random_uniform/RandomUniform;73866;1
6;gradients/dropout/mul_grad/Shape;73640;1
6;gradients/dropout/div_grad/Neg;72509;1
6;Adam/update_Variable_7/ApplyAdam;71878;10
6;gradients/MatMul_1_grad/tuple/control_dependency_1;70679;2
6;gradients/MatMul_grad/tuple/control_dependency_1;69042;2
6;gradients/Conv2D_1_grad/tuple/control_dependency_1;68620;2
6;gradients/Conv2D_grad/tuple/control_dependency_1;65542;2
6;Adam/update_Variable_3/ApplyAdam;62967;10
6;gradients/dropout/mul_grad/Sum_1;60548;2
6;gradients/Add_grad/Shape;58960;1
6;gradients/Relu_grad/ReluGrad;55460;2
6;dropout/random_uniform/mul;53281;2
6;gradients/BiasAdd_1_grad/tuple/control_dependency;52383;2
6;gradients/BiasAdd_grad/tuple/control_dependency;52026;2
6;gradients/dropout/div_grad/RealDiv_1;51810;2
6;gradients/Add_1_grad/Shape;51627;1
6;gradients/MatMul_1_grad/MatMul_1;49388;2
6;gradients/MaxPool_1_grad/MaxPoolGrad;46386;3
6;gradients/dropout/mul_grad/Shape_1;45455;1
6;gradients/dropout/mul_grad/mul_1;43123;2
6;gradients/dropout/div_grad/RealDiv_2;42685;2
6;gradients/Add_grad/BroadcastGradientArgs;42501;2
6;dropout/random_uniform;42061;2
6;Adam/Assign_1;39540;2
6;dropout/div;38074;2
6;gradients/dropout/mul_grad/BroadcastGradientArgs;37960;2
6;gradients/Add_grad/Reshape;36365;2
6;gradients/MatMul_grad/MatMul_1;35900;2
6;gradients/Add_1_grad/Reshape;31939;2
6;gradients/dropout/div_grad/Reshape;31363;2
6;gradients/dropout/div_grad/Sum;30543;2
6;Relu_2;29398;1
6;gradients/dropout/div_grad/mul;29370;2
6;Adam/Assign;27587;2
6;Reshape_4;27578;2
6;dropout/Shape;25324;1
6;BiasAdd;25076;2
6;Add_1;21909;2
6;Reshape_1;20483;2
6;MatMul_1;19958;2
6;Shape;19758;1
6;gradients/BiasAdd_1_grad/tuple/control_dependency_1;19585;2
